#   Isochrone  Z = 0.02124   Y = 0.28667   [M/H] = 0.171   eta_R = 0.200   Age =    1.2589e+07 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.021238   7.1000   6.05923033   6.0592   3.0609   4.2718   4.1986   -2.882   -2.090   -1.322   -1.129   -1.039   -0.921   -0.653   -0.571   -0.505   3.32845974   1
   0.021238   7.1000   6.31846046   6.3185   3.1290   4.2818   4.1890   -3.052   -2.223   -1.438   -1.240   -1.148   -1.027   -0.752   -0.668   -0.600   3.32915068   1
   0.021238   7.1000   6.63692093   6.6369   3.2055   4.2931   4.1787   -3.244   -2.373   -1.569   -1.366   -1.271   -1.146   -0.865   -0.778   -0.708   3.32989120   1
   0.021238   7.1000   7.24014235   7.2401   3.3508   4.3133   4.1522   -3.607   -2.663   -1.823   -1.612   -1.512   -1.382   -1.088   -0.996   -0.922   3.33103228   1
   0.021238   7.1000   7.82394981   7.8239   3.4842   4.3310   4.1232   -3.941   -2.932   -2.062   -1.844   -1.740   -1.605   -1.300   -1.205   -1.127   3.33189154   1
   0.021238   7.1000   8.14807510   8.1481   3.5556   4.3401   4.1058   -4.119   -3.077   -2.193   -1.971   -1.865   -1.727   -1.416   -1.319   -1.240   3.33228970   1
   0.021238   7.1000   8.26444054   8.2644   3.5796   4.3431   4.1000   -4.179   -3.127   -2.237   -2.014   -1.908   -1.769   -1.456   -1.359   -1.279   3.33242083   1
   0.021238   7.1000   8.71791935   8.7179   3.6711   4.3541   4.0758   -4.408   -3.317   -2.408   -2.181   -2.073   -1.931   -1.612   -1.511   -1.429   3.33288026   1
   0.021238   7.1000   9.08101082   9.0810   3.7425   4.3623   4.0550   -4.586   -3.466   -2.544   -2.314   -2.204   -2.060   -1.737   -1.634   -1.550   3.33319736   1
   0.021238   7.1000   9.14807510   9.1481   3.7555   4.3638   4.0509   -4.619   -3.494   -2.569   -2.339   -2.228   -2.084   -1.760   -1.657   -1.573   3.33325148   1
   0.021238   7.1000   9.38190269   9.3819   3.7992   4.3685   4.0370   -4.728   -3.586   -2.654   -2.423   -2.311   -2.166   -1.838   -1.734   -1.649   3.33343124   1
   0.021238   7.1000   9.71518612   9.7152   3.8614   4.3746   4.0145   -4.883   -3.721   -2.779   -2.545   -2.432   -2.285   -1.954   -1.849   -1.763   3.33366418   1
   0.021238   7.1000   10.02417564   10.0242   3.9182   4.3798   3.9922   -5.025   -3.846   -2.895   -2.659   -2.545   -2.397   -2.064   -1.957   -1.869   3.33385873   1
   0.021238   7.1000   10.14807510   10.1481   3.9408   4.3818   3.9828   -5.082   -3.897   -2.942   -2.705   -2.591   -2.443   -2.108   -2.001   -1.913   3.33393145   1
   0.021238   7.1000   10.21692657   10.2169   3.9527   4.3828   3.9779   -5.112   -3.924   -2.967   -2.730   -2.616   -2.467   -2.131   -2.025   -1.936   3.33397079   1
   0.021238   7.1000   10.51238060   10.5124   4.0038   4.3869   3.9554   -5.240   -4.039   -3.075   -2.837   -2.722   -2.572   -2.234   -2.127   -2.038   3.33412957   1
   0.021238   7.1000   10.82901001   10.8290   4.0580   4.3907   3.9294   -5.375   -4.164   -3.193   -2.953   -2.837   -2.687   -2.347   -2.239   -2.149   3.33428431   1
   0.021238   7.1000   11.23049355   11.2305   4.1267   4.3944   3.8914   -5.547   -4.327   -3.349   -3.107   -2.991   -2.840   -2.498   -2.389   -2.298   3.33446050   1
   0.021238   7.1000   11.59674740   11.5967   4.1892   4.3967   3.8520   -5.703   -4.480   -3.496   -3.254   -3.137   -2.986   -2.642   -2.532   -2.441   3.33460426   1
   0.021238   7.1000   11.93201447   11.9320   4.2460   4.3979   3.8121   -5.845   -4.623   -3.635   -3.392   -3.276   -3.124   -2.779   -2.670   -2.578   3.33472323   1
   0.021238   7.1000   12.00000000   12.0000   4.2575   4.3980   3.8038   -5.874   -4.652   -3.663   -3.421   -3.304   -3.152   -2.808   -2.698   -2.607   3.33474612   1
