#   Isochrone  Z = 0.00424   Y = 0.25643   [M/H] = -0.558   eta_R = 0.200   Age =    5.0120e+08 yr
#      Z   log(age/yr)   M_ini      M_act   logL/Lo   logTe   logG   mbol    U       B       V       R       I       J       H       K   int_IMF   stage
   0.004237   8.7000   2.48255992   2.4826   1.9993   3.7444   2.7634   -0.228   0.616   0.541   -0.088   -0.493   -0.853   -1.333   -1.716   -1.765   3.29026508   2
   0.004237   8.7000   2.48279619   2.4828   1.9683   3.7354   2.7581   -0.151   0.782   0.677   0.013   -0.411   -0.787   -1.294   -1.702   -1.753   3.29027295   2
   0.004237   8.7000   2.48291445   2.4829   1.9621   3.7310   2.7467   -0.135   0.845   0.723   0.040   -0.392   -0.776   -1.296   -1.717   -1.769   3.29027677   3
   0.004237   8.7000   2.48308396   2.4831   1.9722   3.7250   2.7128   -0.161   0.887   0.738   0.032   -0.413   -0.808   -1.345   -1.782   -1.836   3.29028249   3
   0.004237   8.7000   2.48330998   2.4833   2.0061   3.7182   2.6516   -0.245   0.885   0.702   -0.032   -0.492   -0.898   -1.457   -1.912   -1.968   3.29028988   3
   0.004237   8.7000   2.48352456   2.4835   2.0450   3.7132   2.5929   -0.342   0.852   0.642   -0.113   -0.583   -0.998   -1.573   -2.043   -2.101   3.29029703   3
   0.004237   8.7000   2.48378778   2.4838   2.0872   3.7088   2.5330   -0.448   0.804   0.570   -0.203   -0.683   -1.106   -1.696   -2.179   -2.237   3.29030585   3
   0.004237   8.7000   2.48410344   2.4841   2.1309   3.7046   2.4728   -0.557   0.756   0.494   -0.297   -0.787   -1.218   -1.821   -2.316   -2.376   3.29031610   3
   0.004237   8.7000   2.48441887   2.4844   2.1723   3.7010   2.4170   -0.661   0.712   0.422   -0.388   -0.886   -1.324   -1.939   -2.444   -2.505   3.29032660   3
   0.004237   8.7000   2.48457646   2.4846   2.1929   3.6993   2.3897   -0.712   0.688   0.385   -0.433   -0.935   -1.377   -1.997   -2.506   -2.568   3.29033184   3
   0.004237   8.7000   2.48468184   2.4847   2.2066   3.6982   2.3714   -0.746   0.674   0.361   -0.463   -0.968   -1.411   -2.035   -2.548   -2.610   3.29033542   3
   0.004237   8.7000   2.48473549   2.4847   2.2136   3.6976   2.3621   -0.764   0.666   0.349   -0.478   -0.985   -1.429   -2.055   -2.570   -2.632   3.29033709   3
   0.004237   8.7000   2.48511147   2.4851   2.2632   3.6937   2.2971   -0.888   0.609   0.260   -0.586   -1.103   -1.554   -2.193   -2.719   -2.782   3.29034948   3
   0.004237   8.7000   2.48548722   2.4855   2.3132   3.6899   2.2320   -1.013   0.551   0.171   -0.696   -1.222   -1.681   -2.332   -2.870   -2.934   3.29036188   3
   0.004237   8.7000   2.48586249   2.4859   2.3626   3.6863   2.1679   -1.137   0.497   0.084   -0.803   -1.338   -1.804   -2.469   -3.018   -3.083   3.29037428   3
   0.004237   8.7000   2.48623776   2.4862   2.4120   3.6827   2.1045   -1.260   0.441   -0.003   -0.909   -1.453   -1.927   -2.605   -3.165   -3.232   3.29038668   3
   0.004237   8.7000   2.48661256   2.4866   2.4613   3.6792   2.0411   -1.383   0.386   -0.090   -1.016   -1.569   -2.050   -2.740   -3.313   -3.380   3.29039907   3
   0.004237   8.7000   2.48698711   2.4870   2.5111   3.6756   1.9769   -1.508   0.339   -0.174   -1.121   -1.685   -2.174   -2.877   -3.460   -3.529   3.29041147   3
   0.004237   8.7000   2.48736167   2.4874   2.5613   3.6719   1.9119   -1.633   0.301   -0.256   -1.226   -1.803   -2.300   -3.015   -3.609   -3.680   3.29042387   3
   0.004237   8.7000   2.48768759   2.4877   2.6051   3.6686   1.8549   -1.743   0.271   -0.325   -1.317   -1.905   -2.409   -3.136   -3.740   -3.812   3.29043460   3
   0.004237   8.7000   2.48805976   2.4881   2.6431   3.6658   1.8059   -1.838   0.247   -0.385   -1.395   -1.992   -2.504   -3.240   -3.852   -3.925   3.29044700   4
   0.004237   8.7000   2.48842263   2.4884   2.6102   3.6683   1.8491   -1.755   0.265   -0.335   -1.329   -1.917   -2.422   -3.149   -3.754   -3.826   3.29045892   4
   0.004237   8.7000   2.48897099   2.4890   2.5749   3.6712   1.8958   -1.667   0.284   -0.281   -1.257   -1.835   -2.334   -3.052   -3.648   -3.719   3.29047680   4
   0.004237   8.7000   2.49005556   2.4901   2.5360   3.6744   1.9477   -1.570   0.308   -0.221   -1.177   -1.745   -2.237   -2.943   -3.530   -3.600   3.29051256   4
   0.004237   8.7000   2.49124813   2.4912   2.4986   3.6773   1.9970   -1.476   0.333   -0.162   -1.099   -1.658   -2.143   -2.840   -3.418   -3.486   3.29055190   4
   0.004237   8.7000   2.49240494   2.4924   2.4564   3.6806   2.0526   -1.371   0.372   -0.092   -1.011   -1.560   -2.038   -2.724   -3.291   -3.358   3.29058981   4
   0.004237   8.7000   2.49345255   2.4935   2.4137   3.6840   2.1092   -1.264   0.414   -0.020   -0.920   -1.461   -1.932   -2.605   -3.161   -3.227   3.29062414   4
   0.004237   8.7000   2.49445701   2.4945   2.3688   3.6874   2.1679   -1.152   0.462   0.058   -0.824   -1.356   -1.820   -2.481   -3.026   -3.091   3.29065704   4
   0.004237   8.7000   2.49528909   2.4953   2.3306   3.6904   2.2180   -1.057   0.503   0.125   -0.742   -1.266   -1.725   -2.375   -2.910   -2.974   3.29068422   4
   0.004237   8.7000   2.49623609   2.4962   2.2884   3.6937   2.2738   -0.951   0.550   0.199   -0.650   -1.166   -1.618   -2.257   -2.783   -2.845   3.29071522   4
   0.004237   8.7000   2.49713564   2.4971   2.2506   3.6966   2.3234   -0.857   0.594   0.266   -0.567   -1.076   -1.522   -2.151   -2.669   -2.731   3.29074478   4
